epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3324.08,1.39826,1.91959,1.50337,0.78675,0.72764,0.81749,0.53815,1.07633,1.07466,1.11283,0.0700708,0.00332547,0.00332547
2,6169.93,0.88771,0.93631,1.11867,0.71404,0.70327,0.78424,0.58738,0.73107,1.39873,1.00975,0.0399389,0.00652696,0.00652696
3,8742.22,0.86558,0.84387,1.09891,0.85629,0.85315,0.92253,0.73108,0.6921,0.82975,1.00241,0.00967507,0.00959645,0.00959645
4,11536.6,0.81839,0.76799,1.07808,0.87142,0.87115,0.90407,0.75549,0.60755,0.62192,0.98142,0.009406,0.009406,0.009406
5,14424.8,0.73513,0.67178,1.04458,0.92939,0.94234,0.96571,0.84084,0.57276,0.49031,0.89696,0.009208,0.009208,0.009208
6,17121,0.69304,0.61548,1.03114,0.84771,0.56499,0.75215,0.59575,0.58679,0.83683,0.96136,0.00901,0.00901,0.00901
7,20030.1,0.65061,0.58114,1.01061,0.94432,0.90084,0.92342,0.85348,0.37972,0.4329,0.75381,0.008812,0.008812,0.008812
8,22804.6,0.62946,0.55317,1.00267,0.92776,0.90371,0.96806,0.88269,0.46935,0.44801,0.73794,0.008614,0.008614,0.008614
9,25620.5,0.6013,0.52442,0.99032,0.9683,0.94102,0.97709,0.90496,0.38972,0.35788,0.71571,0.008416,0.008416,0.008416
10,28510.2,0.57362,0.50128,0.97839,0.92312,0.80489,0.91313,0.8559,0.32212,0.47975,0.7364,0.008218,0.008218,0.008218
11,31515.9,0.56411,0.48489,0.97413,0.93778,0.94993,0.97458,0.91605,0.32097,0.3694,0.69302,0.00802,0.00802,0.00802
12,34462.8,0.54366,0.47586,0.96899,0.76178,0.61647,0.71783,0.63569,0.46888,0.75405,0.80712,0.007822,0.007822,0.007822
13,37183.3,0.5229,0.4643,0.95825,0.95503,0.95041,0.98473,0.934,0.30587,0.29413,0.66392,0.007624,0.007624,0.007624
14,39946.8,0.51079,0.44921,0.95192,0.89618,0.81339,0.91278,0.84546,0.39662,0.5309,0.73782,0.007426,0.007426,0.007426
15,42656.2,0.4991,0.43505,0.95083,0.93108,0.9251,0.97181,0.91097,0.28938,0.33202,0.68553,0.007228,0.007228,0.007228
16,45228.4,0.48349,0.42723,0.94364,0.91178,0.9074,0.96573,0.92305,0.2917,0.34625,0.67155,0.00703,0.00703,0.00703
17,48019.2,0.47238,0.41656,0.94175,0.95097,0.92594,0.97238,0.90818,0.30101,0.28481,0.63072,0.006832,0.006832,0.006832
18,50848.3,0.47056,0.41239,0.94416,0.96228,0.90755,0.95697,0.91221,0.25565,0.32343,0.67493,0.006634,0.006634,0.006634
19,53548.9,0.45775,0.3997,0.93641,0.9713,0.94566,0.97576,0.94418,0.24007,0.24852,0.62305,0.006436,0.006436,0.006436
20,56378.5,0.44528,0.38851,0.93491,0.86828,0.78225,0.8972,0.83925,0.31576,0.48711,0.74239,0.006238,0.006238,0.006238
21,58958.2,0.4447,0.38407,0.93051,0.88295,0.86483,0.91772,0.87709,0.29196,0.41555,0.69799,0.00604,0.00604,0.00604
22,61794.1,0.43555,0.38295,0.93333,0.97835,0.9617,0.98855,0.96219,0.21036,0.2777,0.61578,0.005842,0.005842,0.005842
23,64643.8,0.42758,0.37624,0.92615,0.93783,0.98068,0.98617,0.95361,0.24658,0.25517,0.62033,0.005644,0.005644,0.005644
24,67787.1,0.42305,0.36428,0.92983,0.94243,0.92551,0.96921,0.93934,0.21884,0.28744,0.62957,0.005446,0.005446,0.005446
25,3657.62,0.40387,0.36084,0.91899,0.99391,0.97193,0.98794,0.95879,0.23381,0.21819,0.60761,0.005248,0.005248,0.005248
26,6770.52,0.39926,0.35095,0.92,0.98782,0.96707,0.9872,0.95956,0.22218,0.21467,0.61672,0.00505,0.00505,0.00505
27,11591.2,0.39721,0.34644,0.91735,0.97789,0.97372,0.98977,0.96604,0.20766,0.20065,0.60358,0.004852,0.004852,0.004852
28,14674,0.39252,0.34589,0.91578,0.98624,0.98724,0.99107,0.96862,0.20165,0.17834,0.59866,0.004654,0.004654,0.004654
29,17554.1,0.38598,0.3366,0.91142,0.95556,0.91048,0.96324,0.93003,0.22192,0.27278,0.64084,0.004456,0.004456,0.004456
30,20405.5,0.37715,0.33753,0.91341,0.97907,0.9831,0.98567,0.96349,0.18461,0.20764,0.58668,0.004258,0.004258,0.004258
31,23286.2,0.36433,0.32747,0.90733,0.95727,0.93129,0.97438,0.95305,0.17772,0.25076,0.58279,0.00406,0.00406,0.00406
32,26167.3,0.36311,0.32322,0.90607,0.98963,0.97737,0.98925,0.97632,0.17056,0.16661,0.56715,0.003862,0.003862,0.003862
33,29007.2,0.35712,0.31961,0.90377,0.99142,0.96995,0.98784,0.97258,0.20025,0.22042,0.59024,0.003664,0.003664,0.003664
34,31850.1,0.35113,0.31301,0.90221,0.98689,0.9711,0.98355,0.96976,0.16902,0.18696,0.57572,0.003466,0.003466,0.003466
35,34694.4,0.34795,0.30816,0.89975,0.98664,0.98601,0.98972,0.9821,0.16325,0.15548,0.54859,0.003268,0.003268,0.003268
36,38578.3,0.33954,0.30616,0.9002,0.98032,0.98847,0.99132,0.98105,0.14158,0.16953,0.56299,0.00307,0.00307,0.00307
37,41801.4,0.3297,0.30291,0.89344,0.99105,0.98077,0.99167,0.97973,0.14406,0.14271,0.56075,0.002872,0.002872,0.002872
38,45150.4,0.32197,0.2903,0.89054,0.99144,0.98318,0.98904,0.97432,0.17281,0.15591,0.56052,0.002674,0.002674,0.002674
39,47856.4,0.32304,0.28905,0.89521,0.99021,0.98354,0.98602,0.97433,0.14015,0.15316,0.5543,0.002476,0.002476,0.002476
40,50471.4,0.31319,0.28848,0.88904,0.99455,0.97894,0.9885,0.97814,0.13543,0.13906,0.54877,0.002278,0.002278,0.002278
41,53032.7,0.18775,0.16275,0.84313,0.958,0.95679,0.98429,0.98018,0.09661,0.16881,0.53063,0.00208,0.00208,0.00208
42,55541.9,0.16595,0.13802,0.83422,0.99294,0.98354,0.99122,0.99016,0.08261,0.10199,0.5137,0.001882,0.001882,0.001882
43,58078.5,0.15858,0.13071,0.83078,0.99347,0.99094,0.99436,0.99362,0.0772,0.09387,0.5063,0.001684,0.001684,0.001684
44,60512.6,0.15163,0.12685,0.82969,0.96578,0.97504,0.99037,0.98975,0.06985,0.13096,0.50941,0.001486,0.001486,0.001486
45,62915.8,0.14288,0.12139,0.8249,0.9909,0.98569,0.98967,0.98879,0.07253,0.1248,0.50406,0.001288,0.001288,0.001288
46,65431,0.13886,0.11494,0.82472,0.9924,0.98765,0.99283,0.992,0.06723,0.11498,0.49853,0.00109,0.00109,0.00109
47,68005.1,0.1331,0.10881,0.82349,0.9966,0.9832,0.993,0.99251,0.07174,0.1072,0.5001,0.000892,0.000892,0.000892
48,70512.1,0.12756,0.10534,0.81907,0.99272,0.99017,0.99367,0.99299,0.06291,0.09538,0.49881,0.000694,0.000694,0.000694
49,73045.2,0.12929,0.10356,0.82414,0.99407,0.98971,0.99335,0.9928,0.05985,0.09462,0.49717,0.000496,0.000496,0.000496
50,75609.8,0.1228,0.09802,0.81839,0.9946,0.98971,0.99289,0.99208,0.06052,0.08948,0.49584,0.000298,0.000298,0.000298
